,Tenure,DummyStreamingMovies,DummyStreamingTV,DummyContract,DummyMultiple,DummyTechie,DummyInternetService,DummyDeviceProtection,DummyOnlineBackup,DummyPhone
2694,4.432,0,1,0,0,0,0,0,0,1
5140,61.354,1,1,0,1,0,1,0,1,1
2568,13.438,0,1,0,1,0,0,1,0,1
3671,3.911,1,0,1,1,0,0,0,1,1
7427,59.289,0,1,1,1,0,0,0,1,1
3993,5.595,1,0,0,0,0,1,0,0,1
8082,61.278,1,1,0,0,1,1,0,1,1
5130,60.381,0,1,0,0,1,1,0,1,1
1717,6.216,1,1,1,1,0,0,0,0,1
6921,61.553,0,1,0,1,0,1,1,0,1
3878,31.441,1,0,0,1,0,1,1,1,1
9304,71.51,1,0,0,1,1,0,0,1,1
2947,12.73,1,0,0,0,0,0,1,0,1
1123,1.456,1,0,0,1,0,0,0,1,0
4314,3.238,1,0,0,1,0,0,0,0,1
8903,51.593,0,1,0,1,0,1,1,1,1
2875,16.715,0,0,0,0,1,0,0,0,1
1995,5.795,0,1,0,0,1,0,0,0,0
1041,1.415,1,0,0,0,0,1,0,1,1
6654,63.612,0,0,0,0,0,1,1,1,1
2597,28.23,1,0,0,0,0,0,1,0,1
2651,6.308,0,1,0,0,0,0,0,0,1
1178,6.195,1,1,1,1,1,1,0,1,1
3223,1.863,0,1,1,1,0,1,0,1,1
2751,8.278,0,1,0,1,0,1,0,0,1
5289,62.106,1,0,0,0,0,0,1,0,0
9539,66.686,0,1,0,0,0,1,0,0,1
8533,55.554,1,1,0,0,1,1,0,0,0
3176,8.915,0,0,0,1,0,0,0,1,0
4089,3.033,0,0,1,1,0,0,0,0,1
7395,71.323,1,0,0,1,0,0,0,1,1
4315,1.866,1,0,0,0,1,1,1,0,1
4257,1.318,0,1,0,0,0,0,0,0,1
1162,9.261,1,1,1,0,0,0,0,1,1
3315,7.146,1,1,0,0,0,1,0,1,1
9695,40.142,1,1,0,0,1,1,0,1,1
8177,59.523,0,0,0,0,0,0,0,0,1
4845,2.925,0,1,0,0,0,0,0,0,1
6547,48.571,0,0,0,1,0,1,1,1,1
9828,47.45,0,0,0,1,0,0,1,1,0
1902,2.389,1,0,0,1,0,0,1,1,1
503,4.807,1,1,1,0,0,1,1,1,1
714,3.614,0,0,0,1,0,0,0,0,1
6333,53.063,1,1,0,0,0,1,0,1,1
2692,3.629,0,1,0,0,1,1,1,1,1
298,18.355,0,1,0,0,0,0,1,1,1
6688,66.824,0,1,0,0,1,0,1,0,0
6098,69.872,0,0,1,1,1,0,0,0,1
9255,56.007,0,1,0,1,0,1,1,1,1
3922,8.932,0,0,0,0,0,0,1,1,1
3526,11.164,0,1,0,1,0,1,0,0,1
1362,20.961,0,1,0,0,0,0,0,1,1
4067,16.533,1,1,1,1,1,1,0,1,1
8467,38.583,0,0,0,1,0,0,1,1,1
3373,11.592,0,0,0,1,1,0,0,0,1
4563,7.0,1,1,1,0,0,1,1,0,1
5096,55.341,0,0,0,0,0,1,0,0,1
2656,6.653,1,1,1,1,0,1,1,0,1
7540,56.748,0,0,1,1,0,1,1,1,1
5748,69.505,1,0,0,0,0,1,1,1,1
1304,15.591,0,0,0,0,0,0,1,1,1
6443,66.305,0,0,0,1,0,1,0,1,1
702,12.841,1,1,0,1,0,1,0,0,1
4339,13.217,1,1,0,0,1,1,0,1,1
901,5.261,1,1,0,0,0,0,0,1,1
2294,6.982,0,0,0,1,1,0,1,1,1
8394,38.92,1,0,0,0,1,1,1,1,1
8614,41.363,1,1,1,1,0,1,0,0,1
6956,40.353,0,1,1,1,0,0,0,0,1
9802,49.947,0,0,0,1,0,0,0,0,1
1753,16.156,1,0,1,0,1,1,1,1,1
5039,70.8,1,1,1,0,0,0,0,1,1
25,4.158,0,0,0,0,0,0,0,0,1
7326,49.619,1,1,0,1,0,1,1,0,1
2064,8.333,0,1,0,1,0,1,0,0,1
4189,5.649,0,1,1,1,0,0,0,1,1
566,2.686,1,0,0,0,0,1,1,1,1
8978,64.274,1,0,0,0,0,0,0,1,1
8047,66.495,0,0,0,1,0,1,1,1,1
608,2.566,1,1,0,1,0,1,0,0,1
6289,59.333,0,0,0,0,0,1,0,0,1
2463,17.841,0,0,0,1,0,0,1,0,1
5707,56.315,1,1,0,0,0,1,1,1,1
837,23.957,0,1,0,0,0,0,1,0,1
3455,23.084,1,0,0,1,0,0,0,1,1
4400,10.356,1,0,0,0,0,1,0,0,1
6319,66.657,0,0,1,0,1,0,1,0,1
9579,64.59,1,0,1,1,0,0,1,0,1
