Children,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Responses,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening,DummyChurn,DummyTechie,DummyContract,DummyPort_modem,DummyTablet,DummyInternetService,DummyPhone,DummyMultiple,DummyOnlineSecurity,DummyOnlineBackup,DummyDeviceProtection,DummyTechSupport,DummyStreamingTV,DummyStreamingMovies
0,28561.99,7.978,10,0,1,6.796,172.456,5,5,5,3,4,4,3,4,0,0,0,1,1,1,1,0,1,1,0,0,0,1
1,21704.77,11.699,12,0,1,1.157,242.633,3,4,3,3,4,3,4,4,1,1,0,0,1,1,1,1,1,0,0,0,1,1
4,9609.57,10.753,9,0,1,15.754,159.948,4,4,2,4,4,3,3,3,0,1,1,1,0,0,1,1,0,0,0,0,0,1
1,18925.23,14.914,15,2,0,17.087,119.957,4,4,4,2,5,4,3,3,0,1,1,0,0,0,1,0,1,0,0,0,1,0
0,40074.19,8.147,16,2,1,1.671,149.948,4,4,4,3,4,4,4,5,1,0,0,1,0,1,0,0,0,0,0,1,1,0
3,22660.2,8.421,15,3,1,7.001,185.008,3,3,3,2,4,3,3,3,0,0,0,1,0,0,1,1,1,1,1,0,0,1
0,11467.5,11.183,10,0,1,13.237,200.119,6,5,6,4,1,5,5,5,1,1,0,0,0,0,1,0,0,0,0,1,1,1
2,26759.64,7.792,16,0,0,4.264,114.951,2,2,2,5,2,3,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2,58634.51,5.739,20,2,3,8.221,117.469,5,4,4,3,4,3,4,4,0,0,0,1,0,0,1,0,1,1,0,0,0,0
1,50231.4,8.708,18,1,0,3.422,162.483,2,2,2,2,5,2,3,3,0,0,1,1,0,1,1,0,1,0,1,0,0,1
7,22580.7,9.342,9,0,2,19.267,174.958,4,4,4,7,3,3,3,4,0,0,0,0,0,0,1,1,1,1,0,0,1,0
2,18342.12,6.681,17,1,1,10.522,149.962,4,4,3,4,4,4,3,4,0,0,0,1,0,1,1,0,0,0,1,0,1,0
0,83671.08,8.274,9,0,0,13.011,137.439,1,2,1,4,3,2,3,3,0,0,0,1,0,1,1,0,0,0,0,0,1,0
5,115114.57,5.881,14,1,0,16.879,184.972,5,6,5,2,4,5,4,4,0,0,1,1,1,1,1,1,1,0,0,1,1,0
1,64256.81,11.791,10,3,0,10.06,159.966,3,3,4,2,3,4,4,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0
3,89061.45,10.798,13,1,0,13.87,177.651,3,3,3,2,4,3,5,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1
0,31659.3,13.523,13,1,0,15.782,194.966,3,4,4,3,5,4,4,3,1,0,0,1,0,0,1,1,0,1,1,0,0,1
2,44142.81,9.831,16,3,0,2.303,202.683,2,2,4,3,3,4,3,3,1,0,1,0,0,0,1,0,1,0,1,1,1,1
3,39262.14,9.575,11,1,0,17.11,152.491,3,4,3,4,3,2,3,5,0,1,1,1,0,0,1,0,0,1,1,1,1,0
3,19494.75,10.922,10,1,0,12.806,149.945,5,5,5,4,4,4,3,3,1,0,0,1,0,0,1,1,0,0,0,0,1,0
4,39624.21,12.069,14,0,3,20.454,184.978,2,3,3,2,4,2,3,3,0,0,0,0,0,1,1,0,1,1,1,0,0,1
3,45714.47,6.985,18,1,0,2.416,127.496,5,5,4,4,3,4,3,5,0,0,1,0,1,1,1,0,1,0,1,0,0,0
3,27442.03,9.373,16,1,1,6.652,124.964,3,3,3,2,2,3,5,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0
2,79699.62,7.109,9,0,0,8.544,149.948,4,4,3,5,3,4,4,3,0,0,0,1,0,1,1,0,0,0,0,1,1,0
3,28520.32,13.748,15,1,0,5.77,162.512,3,3,4,2,4,4,3,4,1,0,0,0,1,0,1,1,1,0,1,0,0,1
1,12558.83,9.768,12,1,0,4.158,92.455,4,4,4,4,2,4,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1,8762.23,15.863,15,0,1,10.406,222.65,5,3,5,3,3,5,4,4,1,0,0,1,0,1,1,0,1,0,1,0,1,1
0,43882.72,14.736,12,0,0,1.392,139.982,2,2,3,4,4,2,2,2,1,0,0,1,0,0,1,0,0,1,1,0,1,0
3,10482.52,13.436,13,2,0,1.43,200.132,3,4,3,3,2,4,4,2,1,1,0,0,0,0,1,0,0,0,1,0,1,1
4,33442.79,10.618,18,1,0,5.426,257.651,4,4,4,3,2,5,5,4,1,0,1,0,1,0,1,1,1,1,1,0,1,1
9,43383.54,6.613,14,0,0,11.083,230.105,3,2,1,5,3,3,3,2,0,0,1,1,0,1,0,0,0,1,0,0,1,1
0,21793.88,4.45,13,2,0,3.586,147.489,2,3,4,3,3,2,4,3,0,0,1,0,1,0,1,1,0,1,0,1,0,0
6,51960.51,8.775,9,0,0,4.727,230.105,4,4,4,5,2,5,3,5,1,0,0,1,1,1,1,0,0,1,0,0,1,1
5,25942.1,11.132,8,1,1,20.899,174.958,5,5,4,3,5,3,4,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0
4,11211.59,5.541,15,1,0,3.471,267.665,6,5,5,5,2,6,5,5,1,0,0,1,0,1,1,1,1,0,1,1,1,1
1,8283.29,13.804,11,0,1,5.479,162.483,4,2,3,4,3,3,4,3,1,0,0,1,0,0,1,1,1,1,0,1,0,0
2,10114.81,16.31,16,1,1,3.313,229.993,4,3,5,5,2,4,5,5,1,0,0,1,0,1,1,1,1,1,1,1,0,1
1,36229.21,9.447,9,2,0,7.162,140.001,5,6,4,2,5,3,3,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0
1,25397.44,16.841,12,1,0,9.848,184.965,4,4,3,4,2,4,4,5,0,0,1,1,0,1,1,0,1,1,0,1,0,1
1,50336.5,7.973,10,1,1,16.042,147.474,3,4,3,6,4,4,6,2,0,0,1,1,0,1,1,0,0,1,1,0,0,0
3,38211.37,11.429,12,1,0,9.18,172.458,5,2,3,3,3,5,4,4,0,0,0,0,0,1,1,0,0,1,1,0,1,0
3,52887.26,8.061,16,2,0,3.003,107.482,3,3,2,3,5,4,3,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0
4,12003.33,12.548,11,1,2,3.924,255.142,3,3,3,5,1,4,3,4,1,0,1,1,0,1,1,1,1,0,0,1,1,1
4,24090.62,8.256,13,0,0,18.56,192.457,3,3,3,3,4,3,3,4,0,0,1,1,1,1,1,1,0,0,0,1,0,1
0,15137.93,13.157,6,0,0,8.798,242.633,4,4,4,4,3,4,3,4,1,0,1,1,0,1,1,1,1,0,0,0,1,1
2,54458.38,10.583,5,1,0,10.377,245.175,3,3,2,2,4,3,5,2,1,0,0,1,1,0,1,1,1,1,1,0,1,1
2,132116.33,12.502,11,1,0,22.257,184.965,4,4,5,2,2,4,3,3,1,0,0,1,0,1,1,0,1,1,0,1,0,1
3,37358.13,9.75,11,1,0,9.427,195.006,4,5,3,4,3,3,4,3,1,1,0,0,0,1,1,1,1,1,1,1,0,0
1,26534.16,7.869,11,2,2,7.76,104.963,3,4,3,2,3,3,3,3,0,0,1,1,0,0,1,0,0,0,0,0,1,0
2,76430.83,12.436,14,0,1,11.569,92.488,3,3,4,3,5,3,3,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0
2,4662.37,8.957,13,3,0,3.344,184.98,2,2,3,4,3,5,2,4,1,0,0,1,0,0,1,1,0,0,1,1,0,1
5,43820.85,8.015,12,1,0,7.339,187.656,2,3,3,5,4,2,3,2,1,0,0,1,0,0,1,0,0,0,1,0,1,1
1,38391.55,4.21,8,0,0,5.487,149.962,4,4,4,3,4,2,5,4,0,0,0,0,0,1,1,0,0,0,1,0,1,0
0,44137.6,11.14,6,0,0,1.553,169.945,4,4,3,4,4,4,2,3,1,1,0,0,0,1,1,1,0,0,0,0,1,0
0,14364.65,9.037,11,2,0,12.08,160.001,4,2,4,5,4,3,3,4,1,0,0,1,0,1,1,1,1,0,1,0,0,0
1,62359.91,10.916,11,1,1,13.987,129.962,3,4,3,6,3,4,5,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,82634.86,8.388,11,0,1,9.563,114.951,5,4,3,5,3,3,5,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,15690.25,11.449,11,0,1,6.733,142.516,4,5,5,5,4,4,4,5,0,0,1,0,0,0,1,0,1,0,1,1,0,1
1,14568.7,10.22,15,2,0,15.721,220.148,3,5,3,2,4,5,5,4,1,0,1,1,0,0,1,1,0,0,0,1,1,1
0,29207.46,8.425,9,1,0,7.234,124.978,5,5,3,4,4,5,5,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0
1,55319.23,8.386,12,1,0,2.871,164.965,5,5,4,4,3,4,4,4,0,0,0,0,1,0,1,0,1,1,0,1,0,1
1,81831.49,9.566,10,3,0,2.345,194.977,3,4,3,2,3,4,2,4,0,0,0,1,0,1,1,1,0,0,1,1,1,0
0,100076.65,10.793,14,3,0,7.96,152.456,5,5,5,4,3,2,4,4,1,0,0,1,0,0,1,0,1,1,0,0,0,1
1,69965.65,6.082,15,0,0,12.251,92.502,5,5,5,3,4,3,2,5,0,0,0,0,1,0,1,0,0,0,1,0,0,0
1,34883.69,13.551,13,0,0,9.635,127.489,4,4,4,3,4,4,3,3,0,1,0,0,1,0,1,0,0,0,1,0,0,1
