,DummyChurn
8239,0
7105,0
5176,0
5681,0
6493,0
1750,1
7217,0
4009,0
3547,0
2972,0
5958,0
3386,0
6529,0
5700,0
4539,0
9111,0
6981,0
6517,0
6847,0
8710,0
1801,1
6886,0
9654,0
1929,0
3705,1
4372,1
1008,0
5419,0
8273,0
9393,0
2246,0
9794,0
4895,0
5415,0
3712,1
2363,1
1754,1
4526,1
3627,0
4080,0
9234,0
1472,0
2552,1
2191,0
9603,0
6816,0
1882,1
8420,0
3459,1
8230,0
2000,1
8252,0
0,0
1533,1
4455,0
1283,0
1458,0
4567,1
9517,0
5876,0
6242,0
2026,1
3349,0
1155,0
4350,1
4291,1
3534,0
1446,0
8760,1
8022,0
4910,1
5467,0
8866,0
3017,0
7446,0
9971,0
5747,1
7612,0
9972,0
5538,0
228,1
5350,0
4565,1
1484,0
8071,1
504,1
8410,0
5431,0
6531,1
2487,1
4627,1
4916,0
3954,1
515,1
8390,1
5932,0
1017,0
1186,0
7095,0
9205,0
6923,0
6249,0
4720,0
5485,0
9141,0
5390,0
5850,0
5097,0
8691,0
3049,0
1774,0
4100,0
8855,0
1178,1
4897,0
2433,1
9965,0
8817,0
5367,0
5352,0
9018,0
8869,0
3358,1
488,0
7993,0
2199,0
6842,0
5291,0
165,0
1202,0
1009,0
2256,0
2849,1
2895,1
8271,0
3273,0
6966,0
9332,0
7190,0
4410,0
909,1
5656,1
7218,0
2587,0
4505,0
6271,0
6604,0
8153,0
5316,0
7572,0
549,1
2300,0
8193,0
8655,0
142,0
8770,0
1334,0
1098,1
5508,0
9,0
954,1
5612,0
6512,0
3315,1
6319,0
6025,1
3461,0
6991,0
9594,0
2359,0
7515,0
2334,0
29,1
8947,0
1337,1
8065,1
43,0
342,0
7636,0
3455,0
1215,0
4872,0
854,0
6021,0
4618,1
3393,1
7330,0
1734,1
9228,0
2367,1
2943,0
2565,0
3606,0
1360,1
3708,0
5100,1
6580,0
8757,0
5421,0
6680,0
6432,0
694,0
4687,0
1298,1
5782,0
8773,0
3225,0
4263,1
7083,0
6584,0
5043,0
1292,1
8389,0
8023,0
5491,0
3807,0
8548,0
5255,0
6759,0
3440,1
10,0
7842,0
7315,0
2664,0
4015,0
8025,0
6269,0
9835,0
2083,1
7803,0
633,0
8303,0
8999,0
6766,0
7410,0
2020,0
6784,0
7801,0
3153,1
1617,1
7030,0
7169,0
4507,0
3384,1
5371,0
9025,0
974,1
8465,0
7749,0
8754,0
6304,0
9478,0
95,1
8786,0
264,1
5339,0
8232,0
7854,0
1109,1
303,1
1790,1
7281,0
5849,1
7369,0
3218,1
9317,0
1631,1
3539,0
9672,0
568,1
8494,0
4007,1
1319,1
4940,1
3585,1
9979,1
2480,1
692,0
1129,0
7985,0
5286,0
8119,0
2116,0
6798,0
417,0
2211,0
8877,0
7184,0
7676,0
1873,1
8755,0
5069,0
8966,0
5745,0
6898,0
4214,1
4222,1
3383,1
4176,0
1173,0
5532,0
6823,0
9675,0
6670,0
9028,0
9699,0
5773,0
9714,1
6904,0
1480,1
7785,0
9011,0
5957,0
1089,1
819,1
471,1
6891,0
9167,0
4449,1
7337,0
6256,0
9400,0
2853,0
6115,0
8399,0
9652,0
9371,0
784,0
6036,0
579,0
5950,0
2667,0
455,1
6927,0
994,1
823,0
4020,1
1749,1
4677,1
534,0
6409,0
7463,0
1508,0
3438,0
3462,0
5239,1
4353,0
3894,0
4106,1
5801,0
4900,1
2586,1
8112,0
2775,0
6490,0
9827,0
8314,0
2850,1
2468,1
3847,0
2741,1
9118,0
6797,0
7742,0
2807,1
5058,0
6040,0
2384,0
1271,0
6537,0
5890,0
3261,1
5099,0
6114,0
7894,0
4200,1
1993,1
5739,0
298,0
5439,0
5409,0
2826,0
4383,1
513,1
1205,1
6753,0
8642,0
7247,0
9245,0
5052,0
6545,0
7731,0
8734,0
4042,1
8792,0
1382,0
4857,1
5766,0
7286,0
8607,0
3475,1
2442,1
4411,0
9991,0
106,1
3882,1
2670,1
4835,1
569,1
5214,0
6460,0
3779,1
7837,0
1817,0
5683,0
1678,0
1216,0
4766,1
7371,0
9059,0
5560,0
6738,0
2394,0
988,1
8200,0
8336,0
4439,0
6317,0
9851,0
1023,0
928,1
4795,1
5526,0
7716,0
8854,0
