Customer_id,Partner,Gender,Churn,Contract,InternetService,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Company,Dependents,SeniorCitizen
K409198,No,Male,No,One year,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Autopay,6,172.46,WGU,No,Yes
S120509,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,1,242.63,WGU,Yes,No
K191035,No,Female,No,Two year,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Autopay,15,159.95,WGU,Yes,No
D90850,Yes,Male,No,Two year,DSL,Yes,No,Yes,No,No,No,Yes,No,Yes,Check,17,119.96,WGU,Yes,No
K662701,No,Male,Yes,Month-to-month,Fiber Optic,No,No,No,No,No,Yes,Yes,No,No,Check,1,149.95,WGU,No,Yes
W303516,No,Female,No,One year,None,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,eCheck,7,185.01,WGU,Yes,Yes
U335188,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,eCheck,13,200.12,WGU,No,Yes
V538685,Yes,Female,Yes,Month-to-month,DSL,No,No,No,Yes,No,No,No,No,Yes,Check,4,114.95,WGU,Yes,No
M716771,No,Nonbinary,No,Month-to-month,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Autopay,8,117.47,WGU,Yes,No
I676080,Yes,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Check,3,162.48,WGU,Yes,Yes
J980369,No,Female,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Check,19,174.96,WGU,Yes,No
E243720,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,eCheck,10,149.96,WGU,Yes,Yes
F139569,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Autopay,13,137.44,WGU,No,Yes
X44200,No,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Autopay,16,184.97,WGU,Yes,No
H68068,No,Male,Yes,Month-to-month,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Autopay,10,159.97,WGU,Yes,No
A403906,No,Male,Yes,One year,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,eCheck,13,177.65,WGU,Yes,No
V847470,Yes,Female,Yes,Month-to-month,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Autopay,15,194.97,WGU,No,Yes
F721878,No,Male,Yes,Two year,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Check,2,202.68,WGU,Yes,Yes
F487435,No,Female,No,Two year,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Autopay,17,152.49,WGU,Yes,Yes
B561228,No,Male,Yes,Month-to-month,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Autopay,12,149.94,WGU,Yes,No
X325271,No,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Autopay,20,184.98,WGU,Yes,No
I282896,No,Male,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Autopay,2,127.5,WGU,Yes,No
I367206,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,eCheck,6,124.96,WGU,Yes,No
N37182,No,Male,No,One year,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,eCheck,8,149.95,WGU,Yes,Yes
U644626,No,Female,Yes,Month-to-month,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Autopay,5,162.51,WGU,Yes,Yes
A766555,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,No,Autopay,4,92.46,WGU,Yes,Yes
V54032,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Check,10,222.65,WGU,Yes,No
Z301326,No,Female,Yes,Month-to-month,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,eCheck,1,139.98,WGU,No,Yes
J887250,No,Female,Yes,One year,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Autopay,1,200.13,WGU,Yes,No
Z686376,No,Male,Yes,Two year,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,5,257.65,WGU,Yes,Yes
L357432,Yes,Male,No,Two year,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Autopay,11,230.11,WGU,Yes,No
